"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2002","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","28604.5","","","","1"
"2003","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","29234.6","","","","1"
"2004","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","30058.5","","","","1"
"2005","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","30350.9","","","","1"
"2006","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","30894.2","","","","1"
"2007","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","31082.1","","","","1"
"2008","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","31353.5","","","","1"
"2009","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","30910.1","","","","1"
"2010","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","31556.5","","","","1"
"2011","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","31624.3","","","","1"
"2012","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","31248.5","","","","1"
"2013","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","31140.7","","","","1"
"2014","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","31165.0","","","","1"
"2015","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","31418.4","","","","1"
"2016","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","31708.5","","","","1"
"2017","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","32456.4","","","","1"
"2018","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","32900.5","","","","1"
"2019","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","33347.6","","","","1"
"2020","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","32134.5","","","","1"
"2021","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","33875.2","","","","1"
"2022","New Brunswick","2016A000213","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","34329.7","","","","1"
"2002","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","306018.1","","","","1"
"2003","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","309524.2","","","","1"
"2004","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","317352.5","","","","1"
"2005","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","322343.2","","","","1"
"2006","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","326242.5","","","","1"
"2007","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","334537.4","","","","1"
"2008","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","340352.2","","","","1"
"2009","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","336623.4","","","","1"
"2010","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","343887.3","","","","1"
"2011","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","351206.0","","","","1"
"2012","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","355846.9","","","","1"
"2013","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","360384.3","","","","1"
"2014","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","366088.2","","","","1"
"2015","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","369733.7","","","","1"
"2016","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","375695.6","","","","1"
"2017","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","386407.5","","","","1"
"2018","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","398857.9","","","","1"
"2019","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","410746.6","","","","1"
"2020","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","391038.5","","","","1"
"2021","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","416656.6","","","","1"
"2022","Quebec","2016A000224","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62465739","5.2.1","428252.2","","","","1"
"2002","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","596317.5","","","","1"
"2003","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","603540.4","","","","1"
"2004","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","620656.6","","","","1"
"2005","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","640867.2","","","","1"
"2006","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","653128.1","","","","1"
"2007","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","659016.7","","","","1"
"2008","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","657145.9","","","","1"
"2009","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","635504.2","","","","1"
"2010","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","654982.6","","","","1"
"2011","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","672348.0","","","","1"
"2012","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","682023.2","","","","1"
"2013","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","691682.6","","","","1"
"2014","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","708787.6","","","","1"
"2015","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","727609.6","","","","1"
"2016","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","743976.2","","","","1"
"2017","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","764464.8","","","","1"
"2018","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","789531.6","","","","1"
"2019","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","807274.5","","","","1"
"2020","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","769942.0","","","","1"
"2021","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","809658.6","","","","1"
"2022","Ontario","2016A000235","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466044","6.2.1","839497.4","","","","1"
"2002","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","46903.4","","","","1"
"2003","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","47396.8","","","","1"
"2004","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","48710.4","","","","1"
"2005","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","50201.8","","","","1"
"2006","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","52109.1","","","","1"
"2007","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","53279.8","","","","1"
"2008","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","55039.0","","","","1"
"2009","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","54882.7","","","","1"
"2010","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","56288.5","","","","1"
"2011","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","57583.9","","","","1"
"2012","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","59308.0","","","","1"
"2013","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","60898.9","","","","1"
"2014","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","62077.4","","","","1"
"2015","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","62936.3","","","","1"
"2016","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","63878.2","","","","1"
"2017","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","66007.1","","","","1"
"2018","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","67372.8","","","","1"
"2019","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","68085.8","","","","1"
"2020","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","65309.9","","","","1"
"2021","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","66275.4","","","","1"
"2022","Manitoba","2016A000246","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466349","7.2.1","68483.2","","","","1"
"2002","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","53391.4","","","","1"
"2003","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","55697.7","","","","1"
"2004","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","58210.3","","","","1"
"2005","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","59567.2","","","","1"
"2006","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","58828.7","","","","1"
"2007","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","61180.7","","","","1"
"2008","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","64377.5","","","","1"
"2009","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","60940.0","","","","1"
"2010","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","63970.0","","","","1"
"2011","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","67403.0","","","","1"
"2012","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","68647.4","","","","1"
"2013","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","73062.6","","","","1"
"2014","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","74424.5","","","","1"
"2015","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","73866.1","","","","1"
"2016","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","73627.8","","","","1"
"2017","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","75302.1","","","","1"
"2018","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","76509.8","","","","1"
"2019","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","75969.8","","","","1"
"2020","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","72791.3","","","","1"
"2021","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","72334.7","","","","1"
"2022","Saskatchewan","2016A000247","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466654","8.2.1","76672.9","","","","1"
"2002","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","210970.1","","","","1"
"2003","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","218693.0","","","","1"
"2004","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","231299.3","","","","1"
"2005","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","241957.1","","","","1"
"2006","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","257750.4","","","","1"
"2007","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","262758.0","","","","1"
"2008","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","266188.6","","","","1"
"2009","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","251999.2","","","","1"
"2010","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","264882.8","","","","1"
"2011","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","282733.4","","","","1"
"2012","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","294039.2","","","","1"
"2013","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","310990.0","","","","1"
"2014","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","329203.4","","","","1"
"2015","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","317733.1","","","","1"
"2016","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","306174.0","","","","1"
"2017","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","319212.0","","","","1"
"2018","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","325837.8","","","","1"
"2019","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","326213.1","","","","1"
"2020","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","300801.4","","","","1"
"2021","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","314850.0","","","","1"
"2022","Alberta","2016A000248","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62466959","9.2.1","331488.8","","","","1"
"2002","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","175973.2","","","","1"
"2003","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","180365.2","","","","1"
"2004","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","187741.7","","","","1"
"2005","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","196743.3","","","","1"
"2006","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","205806.0","","","","1"
"2007","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","211785.8","","","","1"
"2008","British Columbia","2016A000259","Chained (2017) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","212989.4","","","","1"
